package_source,canonical_source,package_url_template
APK,APK,
CARGO,RUST,https://crates.io/crates/{package_name}
CRATES,RUST,https://crates.io/crates/{package_name}
RUST,RUST,https://crates.io/crates/{package_name}
COMPOSER,COMPOSER,https://packagist.org/packages/{package_name}
DEB,DEB,
GEM,GEM,https://rubygems.org/gems/{package_name}
GITHUB,GITHUB,https://github.com/{package_name}
GITHUBACTIONS,GITHUB,https://github.com/{package_name}
GO,GO,https://pkg.go.dev/{package_name}
GOLANG,GO,https://pkg.go.dev/{package_name}
MAVEN,MAVEN,https://mvnrepository.com/artifact/{package_name}
NPM,NPM,https://www.npmjs.com/package/{package_name}
NUGET,NUGET,https://www.nuget.org/packages/{package_name}
PUB,PUB,https://pub.dev/packages/{package_name}
PIP,PIP,https://pypi.org/project/{package_name}
PYPI,PIP,https://pypi.org/project/{package_name}
RUBYGEMS,GEM,https://rubygems.org/gems/{package_name}
SWIFT,SWIFT,https://github.com/{package_name}
